"","State.County","long","lat","Alces alces","Antilocapra americana","Bassariscus astutus","Blarina brevicauda","Blarina carolinensis","Blarina hylophaga","Canis latrans","Canis lupus","Castor canadensis","Cervus canadensis","Chaetodipus hispidus","Condylura cristata","Corynorhinus rafinesquii","Corynorhinus townsendii","Cryptotis parva","Cynomys ludovicianus","Dasypus novemcinctus","Didelphis virginiana","Dipodomys ordii","Eptesicus fuscus","Erethizon dorsatum","Geomys bursarius","Glaucomys sabrinus","Glaucomys volans","Ictidomys tridecemlineatus","Lasionycteris noctivagans","Lasiurus borealis","Lasiurus cinereus","Lasiurus intermedius","Lasiurus seminolus","Lepus americanus","Lepus californicus","Lepus europaeus","Lepus townsendii","Lontra canadensis","Lynx canadensis","Lynx rufus","Marmota monax","Martes americana","Martes pennanti","Mephitis mephitis","Microtus breweri","Microtus chrotorrhinus","Microtus ochrogaster","Microtus pennsylvanicus","Microtus pinetorum","Mus musculus","Mustela erminea","Mustela frenata","Mustela nivalis","Myodes gapperi","Myotis austroriparius","Myotis grisescens","Myotis leibii","Myotis lucifugus","Myotis septentrionalis","Myotis sodalis","Napaeozapus insignis","Neotamias minimus","Neotoma floridana","Neotoma magister","Neovison vison","Nycticeius humeralis","Ochrotomys nuttalli","Odocoileus hemionus","Odocoileus virginianus","Ondatra zibethicus","Onychomys leucogaster","Oryzomys palustris","Parascalops breweri","Perimyotis subflavus","Perognathus flavescens","Peromyscus attwateri","Peromyscus gossypinus","Peromyscus leucopus","Peromyscus maniculatus","Phenacomys ungava","Poliocitellus franklinii","Procyon lotor","Rangifer tarandus","Rattus norvegicus","Reithrodontomys fulvescens","Reithrodontomys humulis","Reithrodontomys megalotis","Reithrodontomys montanus","Scalopus aquaticus","Sciurus carolinensis","Sciurus niger","Sigmodon hispidus","Sorex arcticus","Sorex cinereus","Sorex dispar","Sorex fumeus","Sorex haydeni","Sorex hoyi","Sorex longirostris","Sorex palustris","Spilogale putorius","Sylvilagus aquaticus","Sylvilagus floridanus","Sylvilagus obscurus","Sylvilagus palustris","Sylvilagus transitionalis","Synaptomys borealis","Synaptomys cooperi","Tadarida brasiliensis","Tamias striatus","Tamiasciurus hudsonicus","Taxidea taxus","Thomomys talpoides","Urocitellus richardsonii","Urocyon cinereoargenteus","Ursus americanus","Ursus arctos","Vulpes lagopus","Vulpes velox","Vulpes vulpes","Zapus hudsonius","Zapus princeps","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Ctyname","Stname","Cases2017","Facility.Count","STATE","COUNTY","STATENAME","COUNTYNAME","POP_COU","AREA_COU","POP_URBAN","POPPCT_URBAN","AREA_URBAN","AREAPCT_URBAN","POPDEN_URBAN","POP_UA","POPPCT_UA","AREA_UA","AREAPCT_UA","POPDEN_UA","POP_UC","POPPCT_UC","AREA_UC","AREAPCT_UC","POPDEN_UC","POP_RURAL","POPPCT_RURAL","AREA_RURAL","AREAPCT_RURAL","POPDEN_RURAL","cnty_name","state_name","Value","County.Name","State.Name","Education"
"1","AccomackCounty,Virginia","-75.63436","37.75163","1","0.7777778","1.0000000","1.0000000","0.9444444","1.0000000","1.0000000","0.80555556","0.77777778","0.19444444","0.30555556","0.27777778","0.41666667","0.50000000","0.00000000","0.08333333","0.13888889","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0","0","0","0.00000000","0.00000000","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.02777778","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.13888889","0","0","0","0","0","0","0","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.16666667","0.00000000","0.00000000","0.00000000","0.38888889","0.00000000","0.47222222","0.88888889","0.77777778","0.72222222","1.00000000","1.00000000","1.00000000","1.00000000","0.97222222","0.97222222","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","0.94444444","1.00000000","1.00000000","1.00000000","0.77777778","0.61111111","0.61111111","0.61111111","0.611111111","140.86111","96.86111","30.33333","7799.444","297.2778","-17.00000","314.2778","235.444444","144.833333","239.1389","39.1111111","1033.4722","110.05556","73.16667","13.138889","293.6111","234.22222","289.5278","248.61111","AccomackCounty","Virginia","7","8","51","1","Virginia","AccomackCounty","33164","1164189289","0","0.00","0","0.00",NA,"0","0.00","0","0.00",NA,"0","0.00","0","0.00",NA,"33164","100.00","1164189289","100.00","73.8","AccomackCounty","Virginia","3","AccomackCounty","Virginia","19.6%"
"2","AdamsCounty,Pennsylvania","-84.28196","42.19973","1","1.0000000","1.0000000","0.9756098","0.8536585","0.8292683","0.9268293","0.95121951","0.82926829","0.41463415","0.46341463","0.56097561","0.19512195","0.24390244","0.26829268","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0","0","0","0.00000000","0.00000000","0.00000000","0.000000000","0.00000000","0.00000000","0.024390244","0.000000000","0.048780488","0.000000000","0.000000000","0.00000000","0.14634146","0.024390244","0.000000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0","0","0","0","0","0","0","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.12195122","0.12195122","0.04878049","0.39024390","0.39024390","0.60975610","0.39024390","0.39024390","0.39024390","0.39024390","0.56097561","0.46341463","0.70731707","0.78048780","0.92682927","0.85365854","0.97560976","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","0.90243902","0.87804878","0.95121951","0.60975610","0.60975610","0.60975610","0.60975610","0.60975610","0.60975610","0.60975610","0.60975610","0.60975610","0.60975610","0.39024390","0.31707317","0.17073171","0.17073171","0.17073171","0.14634146","0.00000000","0.00000000","0.00000000","0.00000000","0.000000000","84.97561","121.17073","29.53659","9940.927","286.8537","-118.97561","405.8293","173.756098","-49.780488","207.8780","-49.7804878","918.8293","103.85366","45.63415","28.268293","299.5610","147.95122","287.8293","147.95122","AdamsCounty","Pennsylvania","144","21","42","1","Pennsylvania","AdamsCounty","101407","1343342705","46976","46.32","81869961","6.09","1486.1","31255","30.82","53949745","4.02","1500.5","15721","15.50","27920216","2.08","1458.3","54431","53.68","1261472744","93.91","111.8","AdamsCounty","Pennsylvania","14","AdamsCounty","Pennsylvania","22.1%"
"3","AdamsCounty,Wisconsin","-84.28196","42.19973","1","1.0000000","1.0000000","0.9756098","0.8536585","0.8292683","0.9268293","0.95121951","0.82926829","0.41463415","0.46341463","0.56097561","0.19512195","0.24390244","0.26829268","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0","0","0","0.00000000","0.00000000","0.00000000","0.000000000","0.00000000","0.00000000","0.024390244","0.000000000","0.048780488","0.000000000","0.000000000","0.00000000","0.14634146","0.024390244","0.000000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0","0","0","0","0","0","0","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.12195122","0.12195122","0.04878049","0.39024390","0.39024390","0.60975610","0.39024390","0.39024390","0.39024390","0.39024390","0.56097561","0.46341463","0.70731707","0.78048780","0.92682927","0.85365854","0.97560976","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","0.90243902","0.87804878","0.95121951","0.60975610","0.60975610","0.60975610","0.60975610","0.60975610","0.60975610","0.60975610","0.60975610","0.60975610","0.60975610","0.39024390","0.31707317","0.17073171","0.17073171","0.17073171","0.14634146","0.00000000","0.00000000","0.00000000","0.00000000","0.000000000","84.97561","121.17073","29.53659","9940.927","286.8537","-118.97561","405.8293","173.756098","-49.780488","207.8780","-49.7804878","918.8293","103.85366","45.63415","28.268293","299.5610","147.95122","287.8293","147.95122","AdamsCounty","Wisconsin","57","5","55","1","Wisconsin","AdamsCounty","20875","1672214172","0","0.00","0","0.00",NA,"0","0.00","0","0.00",NA,"0","0.00","0","0.00",NA,"20875","100.00","1672214172","100.00","32.3","AdamsCounty","Wisconsin","9","AdamsCounty","Wisconsin","12.5%"
"4","AddisonCounty,Vermont","-73.15777","44.00245","1","1.0000000","1.0000000","0.8823529","1.0000000","1.0000000","0.7941176","0.61764706","0.08823529","0.35294118","0.08823529","0.00000000","0.14705882","0.00000000","0.00000000","0.26470588","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0","0","0","0.00000000","0.00000000","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.000000000","0.000000000","0.058823529","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0","0","0","0","0","0","0","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.14705882","0.14705882","0.05882353","0.00000000","0.05882353","0.64705882","0.11764706","0.64705882","0.64705882","0.64705882","0.64705882","0.64705882","0.52941176","0.55882353","0.64705882","0.73529412","0.91176471","0.64705882","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","0.88235294","1.00000000","0.61764706","0.35294118","0.35294118","0.35294118","0.35294118","0.35294118","0.35294118","0.35294118","0.35294118","0.35294118","0.35294118","0.35294118","0.35294118","0.35294118","0.14705882","0.35294118","0.17647059","0.00000000","0.00000000","0.00000000","0.00000000","0.000000000","62.26471","119.00000","28.70588","9879.147","264.4412","-142.67647","407.1176","180.823529","-58.441176","184.7059","-71.1470588","1012.5588","112.00000","58.00000","17.794118","301.3529","189.94118","300.5882","199.00000","AddisonCounty","Vermont","91","6","50","1","Vermont","AddisonCounty","36821","1984773428","7942","21.57","15214448","0.77","1352.0","0","0.00","0","0.00",NA,"7942","21.57","15214448","0.77","1352.0","28879","78.43","1969558980","99.23","38.0","AddisonCounty","Vermont","2","AddisonCounty","Vermont","36.7%"
"5","AitkinCounty,Minnesota","-93.42340","46.51305","1","0.8333333","1.0000000","1.0000000","0.9166667","1.0000000","1.0000000","0.33333333","0.33333333","0.25000000","0.50000000","0.33333333","0.00000000","0.16666667","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0","0","0","0.00000000","0.00000000","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0","0","0","0","0","0","0","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.08333333","0.08333333","0.00000000","0.50000000","0.50000000","0.66666667","0.83333333","0.83333333","0.83333333","0.83333333","1.00000000","0.83333333","0.75000000","0.83333333","0.83333333","0.91666667","0.91666667","1.00000000","1.00000000","1.00000000","0.91666667","1.00000000","0.58333333","0.58333333","0.58333333","0.58333333","0.50000000","0.16666667","0.16666667","0.16666667","0.16666667","0.16666667","0.16666667","0.16666667","0.16666667","0.16666667","0.16666667","0.16666667","0.16666667","0.16666667","0.16666667","0.16666667","0.00000000","0.00000000","0.00000000","0.00000000","0.08333333","0.16666667","0.16666667","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000000000","40.83333","128.75000","26.41667","11789.333","267.0000","-209.75000","476.7500","182.833333","-123.083333","182.8333","-123.0833333","725.7500","108.00000","15.33333","52.583333","309.1667","61.75000","309.1667","61.75000","AitkinCounty","Minnesota","29","6","27","1","Minnesota","AitkinCounty","16202","4718084060","0","0.00","0","0.00",NA,"0","0.00","0","0.00",NA,"0","0.00","0","0.00",NA,"16202","100.00","4718084060","100.00","8.9","AitkinCounty","Minnesota","10","AitkinCounty","Minnesota","16.7%"
"6","AlbanyCounty,NewYork","-73.92870","42.62841","1","1.0000000","1.0000000","1.0000000","0.8421053","0.9473684","1.0000000","0.73684211","0.52631579","0.52631579","0.47368421","0.05263158","0.94736842","0.00000000","0.26315789","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0","0","0","0.00000000","0.00000000","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.000000000","0.105263158","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0","0","0","0","0","0","0","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.42105263","0.00000000","0.05263158","0.00000000","0.52631579","0.78947368","0.78947368","1.00000000","1.00000000","1.00000000","0.94736842","1.00000000","0.94736842","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","0.84210526","0.94736842","0.68421053","0.68421053","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000000000","78.52632","117.42105","29.57895","9452.632","274.5263","-114.73684","389.2632","183.052632","-46.210526","196.5263","-48.1052632","996.2105","97.78947","60.42105","13.421053","284.4211","202.63158","280.6842","202.78947","AlbanyCounty","NewYork","155","42","36","1","NewYork","AlbanyCounty","304204","1354056384","274708","90.30","316562714","23.38","2247.5","269636","88.64","306370001","22.63","2279.4","5072","1.67","10192713","0.75","1288.8","29496","9.70","1037493670","76.62","73.6","AlbanyCounty","NewYork","42","AlbanyCounty","NewYork","40.5%"
"7","AlbemarleCounty,Virginia","-78.58958","37.95643","1","1.0000000","1.0000000","1.0000000","0.9722222","1.0000000","0.9166667","0.77777778","0.22222222","0.22222222","0.25000000","0.22222222","0.16666667","0.13888889","0.00000000","0.47222222","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0","0","0","0.00000000","0.00000000","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0","0","0","0","0","0","0","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.22222222","0.33333333","0.38888889","0.55555556","1.00000000","0.61111111","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","0.94444444","0.94444444","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","0.66666667","0.44444444","0.69444444","1.00000000","0.52777778","0.44444444","0.44444444","0.444444444","127.97222","128.75000","36.25000","8055.611","303.9722","-47.16667","351.1389","222.194444","21.083333","229.6389","21.0833333","1114.9167","111.88889","76.22222","12.527778","314.1667","234.63889","308.0833","234.63889","AlbemarleCounty","Virginia","42","27","51","3","Virginia","AlbemarleCounty","98970","1866599905","54411","54.98","72020020","3.86","1956.7","48884","49.39","62984214","3.37","2010.2","5527","5.58","9035806","0.48","1584.2","44559","45.02","1794579885","96.14","64.3","AlbemarleCounty","Virginia","12","AlbemarleCounty","Virginia","52.3%"
"8","AlleganyCounty,Maryland","-78.50794","40.05405","1","1.0000000","1.0000000","0.9152542","0.6610169","0.7288136","0.6610169","0.62711864","0.32203390","0.89830508","0.42372881","0.06779661","0.38983051","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0","0","0","0.00000000","0.00000000","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.067796610","0.000000000","0.000000000","0.050847458","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0","0","0","0","0","0","0","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.23728814","0.16949153","0.40677966","0.42372881","0.50847458","0.49152542","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","0.91525424","0.98305085","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","0.91525424","1.00000000","0.94915254","1.00000000","0.89830508","0.74576271","0.69491525","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000000000","99.57627","128.13559","34.11864","8651.661","288.6780","-81.13559","369.8136","190.305085","-14.084746","207.9661","-15.8813559","937.7288","97.96610","57.91525","15.762712","279.4068","182.22034","270.1186","183.61017","AlleganyCounty","Maryland","86","21","24","1","Maryland","AlleganyCounty","75087","1098563627","54624","72.75","87968550","8.01","1608.3","49619","66.08","80537195","7.33","1595.7","5005","6.67","7431355","0.68","1744.4","20463","27.25","1010595077","91.99","52.4","AlleganyCounty","Maryland","19","AlleganyCounty","Maryland","18.2%"
"9","AlleganyCounty,NewYork","-78.50794","40.05405","1","1.0000000","1.0000000","0.9152542","0.6610169","0.7288136","0.6610169","0.62711864","0.32203390","0.89830508","0.42372881","0.06779661","0.38983051","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0","0","0","0.00000000","0.00000000","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.067796610","0.000000000","0.000000000","0.050847458","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0","0","0","0","0","0","0","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.23728814","0.16949153","0.40677966","0.42372881","0.50847458","0.49152542","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","0.91525424","0.98305085","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","0.91525424","1.00000000","0.94915254","1.00000000","0.89830508","0.74576271","0.69491525","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000000000","99.57627","128.13559","34.11864","8651.661","288.6780","-81.13559","369.8136","190.305085","-14.084746","207.9661","-15.8813559","937.7288","97.96610","57.91525","15.762712","279.4068","182.22034","270.1186","183.61017","AlleganyCounty","NewYork","14","8","36","3","NewYork","AlleganyCounty","48946","2665894548","10406","21.26","14453310","0.54","1864.7","0","0.00","0","0.00",NA,"10406","21.26","14453310","0.54","1864.7","38540","78.74","2651441238","99.46","37.6","AlleganyCounty","NewYork","9","AlleganyCounty","NewYork","19.8%"
"10","AlleghanyCounty,Virginia","-80.02271","37.78009","1","1.0000000","1.0000000","1.0000000","1.0000000","0.8863636","0.7954545","0.77272727","0.72727273","0.22727273","0.22727273","0.09090909","0.29545455","0.29545455","0.00000000","0.38636364","0.09090909","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0","0","0","0.00000000","0.00000000","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00000000","0.09090909","0.00000000","0.00000000","0.00000000","0","0","0","0","0","0","0","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.15909091","0.00000000","0.00000000","0.00000000","0.00000000","0.20454545","0.56818182","0.50000000","0.70454545","0.72727273","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","0.93181818","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","0.79545455","1.00000000","0.79545455","1.00000000","0.70454545","0.79545455","0.79545455","0.590909091","106.79545","132.95455","37.65909","7889.886","281.4318","-67.29545","348.7273","187.454545","1.204545","205.4545","1.2045455","1055.2727","106.52273","74.04545","11.227273","297.1818","225.68182","290.9545","225.68182","AlleghanyCounty","Virginia","2","9","51","5","Virginia","AlleghanyCounty","16250","1153727336","7736","47.61","16530458","1.43","1212.1","0","0.00","0","0.00",NA,"7736","47.61","16530458","1.43","1212.1","8514","52.39","1137196878","98.57","19.4","AlleghanyCounty","Virginia","25","AlleghanyCounty","Virginia","15.8%"
