"","State.County","Long.x","Lat.y","Alces alces","Antilocapra americana","Bassariscus astutus","Blarina brevicauda","Blarina carolinensis","Blarina hylophaga","Canis latrans","Canis lupus","Castor canadensis","Cervus canadensis","Chaetodipus hispidus","Condylura cristata","Corynorhinus rafinesquii","Corynorhinus townsendii","Cryptotis parva","Cynomys ludovicianus","Dasypus novemcinctus","Didelphis virginiana","Dipodomys ordii","Eptesicus fuscus","Erethizon dorsatum","Geomys bursarius","Glaucomys sabrinus","Glaucomys volans","Ictidomys tridecemlineatus","Lasionycteris noctivagans","Lasiurus borealis","Lasiurus cinereus","Lasiurus intermedius","Lasiurus seminolus","Lepus americanus","Lepus californicus","Lepus europaeus","Lepus townsendii","Lontra canadensis","Lynx canadensis","Lynx rufus","Marmota monax","Martes americana","Martes pennanti","Mephitis mephitis","Microtus breweri","Microtus chrotorrhinus","Microtus ochrogaster","Microtus pennsylvanicus","Microtus pinetorum","Mus musculus","Mustela erminea","Mustela frenata","Mustela nivalis","Myodes gapperi","Myotis austroriparius","Myotis grisescens","Myotis leibii","Myotis lucifugus","Myotis septentrionalis","Myotis sodalis","Napaeozapus insignis","Neotamias minimus","Neotoma floridana","Neotoma magister","Neovison vison","Nycticeius humeralis","Ochrotomys nuttalli","Odocoileus hemionus","Odocoileus virginianus","Ondatra zibethicus","Onychomys leucogaster","Oryzomys palustris","Parascalops breweri","Perimyotis subflavus","Perognathus flavescens","Peromyscus attwateri","Peromyscus gossypinus","Peromyscus leucopus","Peromyscus maniculatus","Phenacomys ungava","Poliocitellus franklinii","Procyon lotor","Rangifer tarandus","Rattus norvegicus","Reithrodontomys fulvescens","Reithrodontomys humulis","Reithrodontomys megalotis","Reithrodontomys montanus","Scalopus aquaticus","Sciurus carolinensis","Sciurus niger","Sigmodon hispidus","Sorex arcticus","Sorex cinereus","Sorex dispar","Sorex fumeus","Sorex haydeni","Sorex hoyi","Sorex longirostris","Sorex palustris","Spilogale putorius","Sylvilagus aquaticus","Sylvilagus floridanus","Sylvilagus obscurus","Sylvilagus palustris","Sylvilagus transitionalis","Synaptomys borealis","Synaptomys cooperi","Tadarida brasiliensis","Tamias striatus","Tamiasciurus hudsonicus","Taxidea taxus","Thomomys talpoides","Urocitellus richardsonii","Urocyon cinereoargenteus","Ursus americanus","Ursus arctos","Vulpes lagopus","Vulpes velox","Vulpes vulpes","Zapus hudsonius","Zapus princeps","Lat.y","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","X.x","Ctyname","Stname","Cases2017","Facility.Count","X.y","STATE","COUNTY","STATENAME","COUNTYNAME","POP_COU","AREA_COU","POP_URBAN","POPPCT_URBAN","AREA_URBAN","AREAPCT_URBAN","POPDEN_URBAN","POP_UA","POPPCT_UA","AREA_UA","AREAPCT_UA","POPDEN_UA","POP_UC","POPPCT_UC","AREA_UC","AREAPCT_UC","POPDEN_UC","POP_RURAL","POPPCT_RURAL","AREA_RURAL","AREAPCT_RURAL","POPDEN_RURAL","cnty_name","state_name","Percent.Pop.N.Park","County.Name","State.Name","Education"
"1","AccomackCounty,Virginia","-75.63436","37.75163","0.00000000","0.00000000","0","0.7222222","0.00000000","0","0.16666667","0.00000000","0.72222222","0.00000000","0","0.72222222","0.0000000","0.00000000","0.72222222","0","0","0.16666667","0","0.16666667","0.00000000","0.00000000","0.00000000","0.72222222","0.0000000","0.16666667","0.16666667","0.16666667","0.00000000","0.00000000","0.00000000","0","0.00000000","0.0000000","0.16666667","0.00000000","0.00000000","0.72222222","0.00000000","0.00000000","0.16666667","0","0.00000000","0.00000000","0.7222222","0.7222222","1","0.16666667","0.16666667","0.00000000","0.00000000","0","0.00000000","0.16666667","0.16666667","0.16666667","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.72222222","0.16666667","0.00000000","0","0.16666667","0.7222222","0.00000000","0.72222222","0.00000000","0.16666667","0.00000000","0","0.0000000","0.16666667","0.00000000","0.00000000","0.00000000","0.16666667","0","0.00000000","0","0.0000000","0.0000000","0","0.72222222","0.7222222","0.16666667","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0","0.16666667","0.00000000","0.00000000","0.00000000","0.00000000","0.72222222","0","0.7222222","0.72222222","0.0000000","0.00000000","0.0000000","0.16666667","0.6944444","0.0000000","0","0","0.16666667","0.7222222","0.00000000","37.75163","140.86111","96.86111","30.33333","7799.444","297.2778","-17.0000000","314.2778","235.444444","144.8333333","239.1389","39.1111111","1033.4722","110.05556","73.16667","13.138889","293.6111","234.22222","289.5278","2866","AccomackCounty","Virginia","7","8","315","51","1","Virginia","AccomackCounty","33164","1164189289","0","0.00","0","0.00",NA,"0","0.00","0","0.00",NA,"0","0.00","0","0.00",NA,"33164","100.00","1164189289","100.00","73.8","AccomackCounty","Virginia","3","AccomackCounty","Virginia",19.6
"2","AdamsCounty,Pennsylvania","-77.16222","39.91266","0.00000000","0.00000000","0","1.0000000","0.00000000","0","1.00000000","0.00000000","1.00000000","0.00000000","0","1.00000000","0.0000000","0.00000000","1.00000000","0","0","1.00000000","0","1.00000000","0.00000000","0.00000000","0.00000000","1.00000000","0.0000000","1.00000000","1.00000000","1.00000000","0.00000000","0.00000000","0.11111111","0","0.00000000","0.0000000","1.00000000","0.00000000","0.44444444","1.00000000","0.00000000","0.00000000","1.00000000","0","1.00000000","0.00000000","1.0000000","1.0000000","1","1.00000000","1.00000000","1.00000000","1.00000000","0","0.00000000","1.00000000","1.00000000","1.00000000","1.00000000","0.00000000","0.00000000","0.0000000","1.00000000","1.00000000","1.00000000","0.00000000","0","1.00000000","1.0000000","0.00000000","0.00000000","1.00000000","1.00000000","0.00000000","0","0.0000000","1.00000000","1.00000000","0.00000000","0.00000000","1.00000000","0","0.00000000","0","0.0000000","0.0000000","0","1.00000000","1.0000000","1.00000000","0.00000000","0.0000000","1.00000000","0.16666667","1.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.22222222","0","1.00000000","0.00000000","0.00000000","0.00000000","0.00000000","1.00000000","0","1.0000000","1.00000000","0.0000000","0.00000000","0.0000000","1.00000000","1.0000000","0.0000000","0","0","1.00000000","1.0000000","0.00000000","39.91266","107.16667","115.05556","31.38889","8786.889","292.0556","-68.8888889","360.9444","156.333333","-9.5555556","218.0556","-9.5555556","1054.6667","102.83333","72.55556","10.055556","294.1667","229.72222","277.7778","2282","AdamsCounty","Pennsylvania","144","21","229","42","1","Pennsylvania","AdamsCounty","101407","1343342705","46976","46.32","81869961","6.09","1486.1","31255","30.82","53949745","4.02","1500.5","15721","15.50","27920216","2.08","1458.3","54431","53.68","1261472744","93.91","111.8","AdamsCounty","Pennsylvania","14","AdamsCounty","Pennsylvania",22.1
"3","AdamsCounty,Wisconsin","-89.85392","43.98961","0.00000000","0.00000000","0","1.0000000","0.00000000","0","1.00000000","0.00000000","1.00000000","0.00000000","0","0.56521739","0.0000000","0.00000000","0.30434783","0","0","0.00000000","0","1.00000000","0.00000000","0.34782609","0.17391304","1.00000000","1.0000000","1.00000000","1.00000000","1.00000000","0.00000000","0.00000000","0.65217391","0","0.00000000","1.0000000","1.00000000","0.00000000","0.52173913","1.00000000","0.00000000","0.91304348","1.00000000","0","0.00000000","1.00000000","1.0000000","0.2173913","1","1.00000000","1.00000000","1.00000000","1.00000000","0","0.00000000","0.00000000","1.00000000","1.00000000","0.00000000","0.00000000","1.00000000","0.0000000","0.00000000","1.00000000","0.00000000","0.00000000","0","1.00000000","1.0000000","0.00000000","0.00000000","0.00000000","1.00000000","0.00000000","0","0.0000000","1.00000000","1.00000000","0.00000000","1.00000000","1.00000000","0","0.00000000","0","0.0000000","0.9130435","0","1.00000000","1.0000000","1.00000000","0.00000000","1.0000000","1.00000000","0.00000000","0.00000000","0.00000000","1.00000000","0.00000000","0.78260870","0.00000000","0","1.00000000","0.00000000","0.00000000","0.00000000","0.00000000","1.00000000","0","1.0000000","1.00000000","1.0000000","0.00000000","0.0000000","1.00000000","1.0000000","0.0000000","0","0","1.00000000","1.0000000","0.00000000","43.98961","67.60870","125.95652","28.08696","10844.087","282.7826","-158.1739130","440.9565","187.391304","-81.2608696","199.9130","-81.2608696","812.5217","104.65217","24.56522","42.521739","303.7826","83.95652","295.6957","3097","AdamsCounty","Wisconsin","57","5","449","55","1","Wisconsin","AdamsCounty","20875","1672214172","0","0.00","0","0.00",NA,"0","0.00","0","0.00",NA,"0","0.00","0","0.00",NA,"20875","100.00","1672214172","100.00","32.3","AdamsCounty","Wisconsin","9","AdamsCounty","Wisconsin",12.5
"4","AddisonCounty,Vermont","-73.15777","44.00245","1.00000000","0.00000000","0","1.0000000","0.00000000","0","1.00000000","0.00000000","1.00000000","0.00000000","0","1.00000000","0.0000000","0.00000000","0.00000000","0","0","1.00000000","0","1.00000000","1.00000000","0.00000000","1.00000000","1.00000000","0.0000000","1.00000000","1.00000000","1.00000000","0.00000000","0.00000000","1.00000000","0","0.00000000","0.0000000","1.00000000","0.00000000","1.00000000","1.00000000","0.00000000","1.00000000","1.00000000","0","1.00000000","0.00000000","1.0000000","1.0000000","1","1.00000000","1.00000000","0.00000000","1.00000000","0","0.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","0.00000000","0.0000000","0.00000000","1.00000000","0.00000000","0.00000000","0","1.00000000","1.0000000","0.00000000","0.00000000","1.00000000","1.00000000","0.00000000","0","0.0000000","1.00000000","1.00000000","0.00000000","0.00000000","1.00000000","0","0.00000000","0","0.0000000","0.0000000","0","0.00000000","1.0000000","0.00000000","0.00000000","0.0000000","1.00000000","0.79411765","1.00000000","0.00000000","1.00000000","0.00000000","1.00000000","0.00000000","0","0.00000000","0.00000000","0.00000000","0.00000000","0.08823529","1.00000000","0","1.0000000","1.00000000","0.0000000","0.00000000","0.0000000","1.00000000","1.0000000","0.0000000","0","0","1.00000000","1.0000000","0.00000000","44.00245","62.26471","119.00000","28.70588","9879.147","264.4412","-142.6764706","407.1176","180.823529","-58.4411765","184.7059","-71.1470588","1012.5588","112.00000","58.00000","17.794118","301.3529","189.94118","300.5882","2851","AddisonCounty","Vermont","91","6","301","50","1","Vermont","AddisonCounty","36821","1984773428","7942","21.57","15214448","0.77","1352.0","0","0.00","0","0.00",NA,"7942","21.57","15214448","0.77","1352.0","28879","78.43","1969558980","99.23","38.0","AddisonCounty","Vermont","2","AddisonCounty","Vermont",36.7
"5","AitkinCounty,Minnesota","-93.42340","46.51305","0.33333333","0.00000000","0","1.0000000","0.00000000","0","1.00000000","0.41666667","1.00000000","0.00000000","0","1.00000000","0.0000000","0.00000000","0.00000000","0","0","0.00000000","0","1.00000000","0.50000000","1.00000000","1.00000000","1.00000000","1.0000000","1.00000000","1.00000000","1.00000000","0.00000000","0.00000000","1.00000000","0","0.00000000","0.7500000","1.00000000","0.08333333","1.00000000","1.00000000","0.08333333","1.00000000","1.00000000","0","0.00000000","0.16666667","1.0000000","0.0000000","1","1.00000000","1.00000000","1.00000000","1.00000000","0","0.00000000","0.00000000","1.00000000","1.00000000","0.00000000","1.00000000","1.00000000","0.0000000","0.00000000","1.00000000","0.00000000","0.00000000","0","1.00000000","1.0000000","0.00000000","0.00000000","0.00000000","0.16666667","0.00000000","0","0.0000000","0.91666667","1.00000000","0.00000000","1.00000000","1.00000000","0","0.00000000","0","0.0000000","0.0000000","0","0.25000000","1.0000000","1.00000000","0.00000000","1.0000000","1.00000000","0.00000000","0.00000000","0.00000000","1.00000000","0.00000000","1.00000000","1.00000000","0","1.00000000","0.00000000","0.00000000","0.00000000","0.00000000","1.00000000","0","1.0000000","1.00000000","1.0000000","0.00000000","0.0000000","1.00000000","1.0000000","0.0000000","0","0","1.00000000","1.0000000","0.00000000","46.51305","40.83333","128.75000","26.41667","11789.333","267.0000","-209.7500000","476.7500","182.833333","-123.0833333","182.8333","-123.0833333","725.7500","108.00000","15.33333","52.583333","309.1667","61.75000","309.1667","1337","AitkinCounty","Minnesota","29","6","49","27","1","Minnesota","AitkinCounty","16202","4718084060","0","0.00","0","0.00",NA,"0","0.00","0","0.00",NA,"0","0.00","0","0.00",NA,"16202","100.00","4718084060","100.00","8.9","AitkinCounty","Minnesota","10","AitkinCounty","Minnesota",16.7
"6","AlbanyCounty,NewYork","-73.92870","42.62841","0.00000000","0.00000000","0","1.0000000","0.00000000","0","1.00000000","0.00000000","1.00000000","0.00000000","0","1.00000000","0.0000000","0.00000000","0.00000000","0","0","1.00000000","0","1.00000000","1.00000000","0.00000000","1.00000000","1.00000000","0.0000000","1.00000000","1.00000000","1.00000000","0.00000000","0.00000000","1.00000000","0","0.00000000","0.0000000","1.00000000","0.00000000","1.00000000","1.00000000","0.00000000","1.00000000","1.00000000","0","1.00000000","0.00000000","1.0000000","1.0000000","1","1.00000000","1.00000000","0.00000000","1.00000000","0","0.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","0.00000000","0.0000000","0.00000000","1.00000000","0.00000000","0.00000000","0","1.00000000","1.0000000","0.00000000","0.00000000","1.00000000","1.00000000","0.00000000","0","0.0000000","1.00000000","1.00000000","0.00000000","0.00000000","1.00000000","0","0.00000000","0","0.0000000","0.0000000","0","0.00000000","1.0000000","0.00000000","0.00000000","0.0000000","1.00000000","1.00000000","1.00000000","0.00000000","0.00000000","0.00000000","1.00000000","0.00000000","0","1.00000000","0.00000000","0.00000000","0.00000000","0.00000000","1.00000000","0","1.0000000","1.00000000","0.0000000","0.00000000","0.0000000","1.00000000","1.0000000","0.0000000","0","0","1.00000000","1.0000000","0.00000000","42.62841","78.52632","117.42105","29.57895","9452.632","274.5263","-114.7368421","389.2632","183.052632","-46.2105263","196.5263","-48.1052632","996.2105","97.78947","60.42105","13.421053","284.4211","202.63158","280.6842","1860","AlbanyCounty","NewYork","155","42","167","36","1","NewYork","AlbanyCounty","304204","1354056384","274708","90.30","316562714","23.38","2247.5","269636","88.64","306370001","22.63","2279.4","5072","1.67","10192713","0.75","1288.8","29496","9.70","1037493670","76.62","73.6","AlbanyCounty","NewYork","42","AlbanyCounty","NewYork",40.5
"7","AlbemarleCounty,Virginia","-78.58958","37.95643","0.00000000","0.00000000","0","1.0000000","0.00000000","0","1.00000000","0.00000000","1.00000000","0.00000000","0","1.00000000","0.0000000","0.00000000","1.00000000","0","0","1.00000000","0","1.00000000","0.00000000","0.00000000","0.00000000","1.00000000","0.0000000","1.00000000","1.00000000","1.00000000","0.00000000","0.00000000","0.19444444","0","0.00000000","0.0000000","1.00000000","0.00000000","1.00000000","1.00000000","0.00000000","0.00000000","1.00000000","0","0.00000000","0.00000000","1.0000000","1.0000000","1","0.00000000","1.00000000","1.00000000","1.00000000","0","0.00000000","1.00000000","1.00000000","1.00000000","1.00000000","0.25000000","0.00000000","0.0000000","1.00000000","1.00000000","1.00000000","0.00000000","0","1.00000000","1.0000000","0.00000000","0.05555556","0.55555556","1.00000000","0.00000000","0","0.0000000","1.00000000","1.00000000","0.00000000","0.00000000","1.00000000","0","0.00000000","0","1.0000000","0.0000000","0","1.00000000","1.0000000","1.00000000","0.47222222","0.0000000","0.00000000","0.00000000","1.00000000","0.00000000","1.00000000","1.00000000","0.22222222","1.00000000","0","1.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.94444444","0","1.0000000","1.00000000","0.0000000","0.00000000","0.0000000","1.00000000","1.0000000","0.0000000","0","0","1.00000000","1.0000000","0.00000000","37.95643","127.97222","128.75000","36.25000","8055.611","303.9722","-47.1666667","351.1389","222.194444","21.0833333","229.6389","21.0833333","1114.9167","111.88889","76.22222","12.527778","314.1667","234.63889","308.0833","2867","AlbemarleCounty","Virginia","42","27","316","51","3","Virginia","AlbemarleCounty","98970","1866599905","54411","54.98","72020020","3.86","1956.7","48884","49.39","62984214","3.37","2010.2","5527","5.58","9035806","0.48","1584.2","44559","45.02","1794579885","96.14","64.3","AlbemarleCounty","Virginia","12","AlbemarleCounty","Virginia",52.3
"8","AlexandriaCounty,Virginia","-77.08178","38.82017","0.00000000","0.00000000","0","1.0000000","0.00000000","0","1.00000000","0.00000000","1.00000000","0.00000000","0","1.00000000","0.0000000","0.00000000","1.00000000","0","0","1.00000000","0","1.00000000","0.00000000","0.00000000","0.00000000","1.00000000","0.0000000","1.00000000","1.00000000","1.00000000","0.00000000","0.00000000","0.00000000","0","0.00000000","0.0000000","1.00000000","0.00000000","0.00000000","1.00000000","0.00000000","0.00000000","1.00000000","0","0.00000000","0.00000000","1.0000000","1.0000000","1","1.00000000","1.00000000","1.00000000","1.00000000","0","0.00000000","1.00000000","1.00000000","1.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.45454545","1.00000000","1.00000000","0.00000000","0","1.00000000","1.0000000","0.00000000","1.00000000","0.00000000","1.00000000","0.00000000","0","0.0000000","1.00000000","0.00000000","0.00000000","0.00000000","1.00000000","0","0.00000000","0","1.0000000","0.0000000","0","1.00000000","1.0000000","1.00000000","0.00000000","0.0000000","1.00000000","0.00000000","0.00000000","0.00000000","1.00000000","1.00000000","0.00000000","0.00000000","0","1.00000000","0.00000000","0.00000000","0.00000000","0.00000000","1.00000000","0","1.0000000","1.00000000","0.0000000","0.00000000","0.0000000","1.00000000","1.0000000","0.0000000","0","0","1.00000000","1.0000000","0.00000000","38.82017","130.81818","114.90909","32.27273","8497.182","306.6364","-42.9090909","349.5455","233.727273","18.7272727","238.1818","18.7272727","1018.5455","104.36364","70.54545","11.454545","291.0909","223.90909","290.1818","2961","AlexandriaCounty","Virginia","18","1","410","51","510","Virginia","AlexandriaCounty","139966","38919733","139966","100.00","38919733","100.00","9314.3","139966","100.00","38919733","100.00","9314.3","0","0.00","0","0.00",NA,"0","0.00","0","0.00",NA,"AlexandriaCounty","Virginia","83","AlexandriaCounty","Virginia",61.8
"9","AlleganyCounty,Maryland","-78.60463","39.59466","0.00000000","0.00000000","0","1.0000000","0.00000000","0","1.00000000","0.00000000","1.00000000","0.00000000","0","1.00000000","0.0000000","0.00000000","1.00000000","0","0","1.00000000","0","1.00000000","0.00000000","0.00000000","0.00000000","1.00000000","0.0000000","1.00000000","1.00000000","1.00000000","0.00000000","0.00000000","0.87755102","0","0.00000000","0.0000000","1.00000000","0.00000000","1.00000000","1.00000000","0.00000000","1.00000000","1.00000000","0","0.95918367","0.00000000","1.0000000","1.0000000","1","0.46938776","1.00000000","1.00000000","1.00000000","0","0.00000000","1.00000000","1.00000000","1.00000000","1.00000000","1.00000000","0.00000000","0.0000000","1.00000000","1.00000000","1.00000000","0.00000000","0","1.00000000","1.0000000","0.00000000","0.00000000","1.00000000","1.00000000","0.00000000","0","0.0000000","1.00000000","1.00000000","0.00000000","0.00000000","1.00000000","0","0.00000000","0","0.0000000","0.0000000","0","1.00000000","1.0000000","1.00000000","0.00000000","0.0000000","1.00000000","1.00000000","1.00000000","0.00000000","0.00000000","0.04081633","0.97959184","1.00000000","0","1.00000000","0.55102041","0.00000000","0.00000000","0.00000000","1.00000000","0","1.0000000","1.00000000","0.2857143","0.00000000","0.0000000","1.00000000","1.0000000","0.0000000","0","0","1.00000000","1.0000000","0.00000000","39.59466","106.02041","129.67347","34.63265","8584.143","294.3878","-74.5306122","368.9184","193.367347","-8.4285714","213.8163","-8.4285714","934.6735","94.83673","59.22449","14.571429","276.4490","185.08163","265.3673","1213","AlleganyCounty","Maryland","86","21","25","24","1","Maryland","AlleganyCounty","75087","1098563627","54624","72.75","87968550","8.01","1608.3","49619","66.08","80537195","7.33","1595.7","5005","6.67","7431355","0.68","1744.4","20463","27.25","1010595077","91.99","52.4","AlleganyCounty","Maryland","19","AlleganyCounty","Maryland",18.2
"10","AlleganyCounty,NewYork","-78.03412","42.30506","0.00000000","0.00000000","0","1.0000000","0.00000000","0","1.00000000","0.00000000","1.00000000","0.00000000","0","1.00000000","0.0000000","0.00000000","1.00000000","0","0","1.00000000","0","1.00000000","0.10000000","0.00000000","1.00000000","1.00000000","0.0000000","1.00000000","1.00000000","1.00000000","0.00000000","0.00000000","1.00000000","0","0.80000000","0.0000000","1.00000000","0.00000000","0.50000000","1.00000000","0.00000000","0.50000000","1.00000000","0","0.00000000","0.00000000","1.0000000","1.0000000","1","1.00000000","1.00000000","0.40000000","1.00000000","0","0.00000000","1.00000000","1.00000000","1.00000000","0.00000000","1.00000000","0.00000000","0.0000000","0.00000000","1.00000000","0.00000000","0.00000000","0","1.00000000","1.0000000","0.00000000","0.00000000","1.00000000","1.00000000","0.00000000","0","0.0000000","1.00000000","1.00000000","0.00000000","0.00000000","1.00000000","0","0.00000000","0","0.0000000","0.0000000","0","0.00000000","1.0000000","1.00000000","0.00000000","0.0000000","1.00000000","0.00000000","1.00000000","0.00000000","0.60000000","0.00000000","0.00000000","0.00000000","0","1.00000000","0.00000000","0.00000000","0.00000000","0.00000000","1.00000000","0","1.0000000","1.00000000","0.7000000","0.00000000","0.0000000","1.00000000","1.0000000","0.0000000","0","0","1.00000000","1.0000000","0.00000000","42.30506","68.00000","120.60000","31.60000","8982.500","260.7000","-113.5000000","374.2000","175.300000","-41.8000000","179.3000","-52.4000000","952.7000","113.30000","51.50000","21.600000","293.9000","168.20000","293.4000","1861","AlleganyCounty","NewYork","14","8","168","36","3","NewYork","AlleganyCounty","48946","2665894548","10406","21.26","14453310","0.54","1864.7","0","0.00","0","0.00",NA,"10406","21.26","14453310","0.54","1864.7","38540","78.74","2651441238","99.46","37.6","AlleganyCounty","NewYork","9","AlleganyCounty","NewYork",19.8
